Uniprot Accession	Description	Gene	Peptides.used.for.quantitation	Confidence.score	Molecular weight (Da)	Dataset	Bnumber	Annotated functional COG groups (letter)	Annotated functional COG group (description)	Annotated functional COG class
P30843	Transcriptional regulatory protein BasR OS=Escherichia coli (strain K12) GN=basR PE=2 SV=3	basR	2	83.85	24997.14381	2	b4113	TK	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P0AGA6	Transcriptional regulatory protein uhpA OS=Escherichia coli (strain K12) GN=uhpA PE=1 SV=1	uhpA	2	230.32	20857.9082	2	b3669	TK	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P76330	Probable diguanylate cyclase YedQ OS=Escherichia coli (strain K12) GN=yedQ PE=2 SV=2	yedQ	2	40.22	64224.80085	2	b1956	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P37649	Protein YhjK OS=Escherichia coli (strain K12) GN=yhjK PE=1 SV=3	yhjK	2	66.32	74315.39691	2	b3529	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P0AE91	Protein CreA OS=Escherichia coli (strain K12) GN=creA PE=4 SV=1	creA	2	105.04	17079.02378	2	b4397	S	Function unknown	POORLY CHARACTERIZED
P09549	Protein dedD OS=Escherichia coli (strain K12) GN=dedD PE=4 SV=2	dedD	2	71.68	22906.23661	2	b2314	S	Function unknown	POORLY CHARACTERIZED
P16681	Protein phnB OS=Escherichia coli (strain K12) GN=phnB PE=1 SV=1	phnB	2	129.08	16142.71835	2	b4107	S	Function unknown	POORLY CHARACTERIZED
P0A8R4	Protein slyX OS=Escherichia coli (strain K12) GN=slyX PE=3 SV=1	slyX	2	102.03	8191.18194	2	b3348	S	Function unknown	POORLY CHARACTERIZED
P0AA99	Putative L,D-transpeptidase YafK OS=Escherichia coli (strain K12) GN=yafK PE=3 SV=1	yafK	2	76.02	27985.12231	2	b0224	S	Function unknown	POORLY CHARACTERIZED
P0C037	UPF0345 protein yaiE OS=Escherichia coli (strain K12) GN=yaiE PE=3 SV=1	yaiE	2	111.61	10209.86884	2	b0391	S	Function unknown	POORLY CHARACTERIZED
P75829	Uncharacterized protein ybjX OS=Escherichia coli (strain K12) GN=ybjX PE=4 SV=1	ybjX	2	110.37	38314.69249	2	b0877	S	Function unknown	POORLY CHARACTERIZED
P0AB12	Inner membrane protein yccF OS=Escherichia coli (strain K12) GN=yccF PE=1 SV=1	yccF	2	60.18	16246.8707	2	b0961	S	Function unknown	POORLY CHARACTERIZED
P75954	Probable L,D-transpeptidase YcfS OS=Escherichia coli (strain K12) GN=ycfS PE=1 SV=1	ycfS	2	122.98	34596.11664	2	b1113	S	Function unknown	POORLY CHARACTERIZED
P29013	Uncharacterized protein ycgB OS=Escherichia coli (strain K12) GN=ycgB PE=4 SV=2	ycgB	2	127.37	60756.97139	2	b1188	S	Function unknown	POORLY CHARACTERIZED
P0ACW6	Uncharacterized protein ydcH OS=Escherichia coli (strain K12) GN=ydcH PE=4 SV=2	ydcH	2	81.41	8854.61993	2	b1426	S	Function unknown	POORLY CHARACTERIZED
P0ACY9	Uncharacterized protein yebG OS=Escherichia coli (strain K12) GN=yebG PE=4 SV=1	yebG	2	72.07	10692.27498	2	b1848	S	Function unknown	POORLY CHARACTERIZED
P0A8B2	UPF0115 protein yfcN OS=Escherichia coli (strain K12) GN=yfcN PE=3 SV=1	yfcN	2	97.99	20981.98037	2	b2331	S	Function unknown	POORLY CHARACTERIZED
P0ADQ7	Uncharacterized protein ygaM OS=Escherichia coli (strain K12) GN=ygaM PE=4 SV=1	ygaM	2	116.95	12262.07752	2	b2672	S	Function unknown	POORLY CHARACTERIZED
P37642	Inner membrane protein yhjD OS=Escherichia coli (strain K12) GN=yhjD PE=1 SV=1	yhjD	2	99.44	37869.22146	2	b3522	S	Function unknown	POORLY CHARACTERIZED
P0ACC3	Iron-sulfur cluster insertion protein erpA OS=Escherichia coli (strain K12) GN=erpA PE=1 SV=1	erpA	2	110.04	12074.75582	2	b0156	S	Function unknown	POORLY CHARACTERIZED
P64461	Autoinducer 2-degrading protein lsrG OS=Escherichia coli (strain K12) GN=lsrG PE=1 SV=1	lsrG	2	73.7	11229.62576	2	b1518	S	Function unknown	POORLY CHARACTERIZED
P39371	N-acetylneuraminate epimerase OS=Escherichia coli (strain K12) GN=nanM PE=1 SV=2	nanM	2	67.19	39529.6386	1	b4310	S	Function unknown	POORLY CHARACTERIZED
P0AF90	Regulator of ribonuclease activity B OS=Escherichia coli (strain K12) GN=rraB PE=1 SV=1	rraB	2	130.25	15575.03289	2	b4255	S	Function unknown	POORLY CHARACTERIZED
P77667	Protein sufA OS=Escherichia coli (strain K12) GN=sufA PE=1 SV=1	sufA	2	106.76	13273.47858	2	b1684	S	Function unknown	POORLY CHARACTERIZED
P0A8E5	UPF0231 protein yacL OS=Escherichia coli (strain K12) GN=yacL PE=3 SV=1	yacL	2	116.33	13914.52935	1	b0119	S	Function unknown	POORLY CHARACTERIZED
P0AAQ6	Uncharacterized protein ybaA OS=Escherichia coli (strain K12) GN=ybaA PE=4 SV=1	ybaA	2	134.3	13291.44106	1	b0456	S	Function unknown	POORLY CHARACTERIZED
P0AAT2	Uncharacterized protein ybdF OS=Escherichia coli (strain K12) GN=ybdF PE=4 SV=1	ybdF	2	83.22	14023.377	1	b0579	S	Function unknown	POORLY CHARACTERIZED
P0A8L7	UPF0263 protein yciU OS=Escherichia coli (strain K12) GN=yciU PE=1 SV=1	yciU	2	98.1	12661.01422	1	b1248	S	Function unknown	POORLY CHARACTERIZED
P0AB10	Uncharacterized lipoprotein ymbA OS=Escherichia coli (strain K12) GN=ymbA PE=4 SV=2	ymbA	2	79.33	20603.63296	2	b0952	S	Function unknown	POORLY CHARACTERIZED
Q46919	Uncharacterized protein yqcC OS=Escherichia coli (strain K12) GN=yqcC PE=1 SV=1	yqcC	2	89.12	12760.34477	2	b2792	S	Function unknown	POORLY CHARACTERIZED
P0AA63	Inner membrane protein YqjA OS=Escherichia coli (strain K12) GN=yqjA PE=1 SV=1	yqjA	2	132.97	24551.31261	2	b3095	S	Function unknown	POORLY CHARACTERIZED
P64585	Inner membrane protein yqjE OS=Escherichia coli (strain K12) GN=yqjE PE=1 SV=1	yqjE	2	88.97	15119.20843	2	b3099	S	Function unknown	POORLY CHARACTERIZED
P0AE48	Gamma-glutamylcyclotransferase family protein ytfP OS=Escherichia coli (strain K12) GN=ytfP PE=1 SV=1	ytfP	2	128.08	12840.36745	2	b4222	S	Function unknown	POORLY CHARACTERIZED
P0ADC8	Uncharacterized protein yjiX OS=Escherichia coli (strain K12) GN=yjiX PE=4 SV=1	yjiX	2	76.31	7705.59192	1	b4353	S	Function unknown	POORLY CHARACTERIZED
P0ADU7	Uncharacterized protein yqiB OS=Escherichia coli (strain K12) GN=yqiB PE=4 SV=1	yqiB	2	134.17	16519.22641	1	b3033	S	Function unknown	POORLY CHARACTERIZED
P64534	Uncharacterized protein yohN OS=Escherichia coli (strain K12) GN=yohN PE=4 SV=1	rcnB	2	177.09	12440.24192	2	b2107	S	Function unknown	POORLY CHARACTERIZED
P0AAT6	Uncharacterized protein ybeB OS=Escherichia coli (strain K12) GN=ybeB PE=1 SV=1	rsfS	2	134.46	11556.82767	2	b0637	S	Function unknown	POORLY CHARACTERIZED
P28634	UPF0066 protein yaeB OS=Escherichia coli (strain K12) GN=yaeB PE=1 SV=2	tsaA	2	68.97	26327.69853	2	b0195	S	Function unknown	POORLY CHARACTERIZED
P0A6A0	Probable ubiquinone biosynthesis protein UbiB OS=Escherichia coli (strain K12) GN=ubiB PE=1 SV=1	ubiB	2	87.28	63144.4162	2	b3835	R	General function prediction only	POORLY CHARACTERIZED
P13001	Carboxylesterase BioH OS=Escherichia coli (strain K12) GN=bioH PE=1 SV=1	bioH	2	101.22	28468.85214	2	b3412	R	General function prediction only	POORLY CHARACTERIZED
P0AE63	Cation transport regulator ChaB OS=Escherichia coli (strain K12) GN=chaB PE=1 SV=1	chaB	2	51.57	8921.34967	2	b1217	R	General function prediction only	POORLY CHARACTERIZED
P39405	Ferric iron reductase protein fhuF OS=Escherichia coli (strain K12) GN=fhuF PE=1 SV=1	fhuF	2	85.56	30075.33488	2	b4367	R	General function prediction only	POORLY CHARACTERIZED
P31828	Probable zinc protease pqqL OS=Escherichia coli (strain K12) GN=pqqL PE=3 SV=2	pqqL	2	106.67	104573.7103	2	b1494	R	General function prediction only	POORLY CHARACTERIZED
P0A944	Ribosomal-protein-alanine acetyltransferase OS=Escherichia coli (strain K12) GN=rimI PE=3 SV=1	rimI	2	150.95	16581.3683	2	b4373	R	General function prediction only	POORLY CHARACTERIZED
P0A840	Multifunctional protein surE OS=Escherichia coli (strain K12) GN=surE PE=1 SV=1	surE	2	99.49	26865.59578	2	b2744	R	General function prediction only	POORLY CHARACTERIZED
P75809	Phosphatase YbjI OS=Escherichia coli (strain K12) GN=ybjI PE=1 SV=3	ybjI	2	75.91	30159.07836	2	b0844	R	General function prediction only	POORLY CHARACTERIZED
P28306	UPF0755 protein yceG OS=Escherichia coli (strain K12) GN=yceG PE=1 SV=2	yceG	2	51.99	38205.32134	2	b1097	R	General function prediction only	POORLY CHARACTERIZED
P76046	Uncharacterized protein ycjX OS=Escherichia coli (strain K12) GN=ycjX PE=1 SV=1	ycjX	2	129.46	52558.10385	2	b1321	R	General function prediction only	POORLY CHARACTERIZED
P76491	5'-nucleotidase yfbR OS=Escherichia coli (strain K12) GN=yfbR PE=1 SV=1	yfbR	2	107.45	22675.59007	2	b2291	R	General function prediction only	POORLY CHARACTERIZED
P69853	Twin-arginine leader-binding protein dmsD OS=Escherichia coli (strain K12) GN=dmsD PE=1 SV=2	dmsD	2	85.55	23311.73668	2	b1591	R	General function prediction only	POORLY CHARACTERIZED
P0A8J2	Primosomal protein 1 OS=Escherichia coli (strain K12) GN=dnaT PE=1 SV=2	dnaT	2	80.74	19425.00867	2	b4362	R	General function prediction only	POORLY CHARACTERIZED
P37661	Phosphoethanolamine transferase eptB OS=Escherichia coli (strain K12) GN=eptB PE=1 SV=3	eptB	2	88.37	63745.52059	2	b3546	R	General function prediction only	POORLY CHARACTERIZED
P77712	Long-chain acyl-CoA thioesterase tesC OS=Escherichia coli (strain K12) GN=tesC PE=1 SV=1	fadM	2	81.7	15060.84544	2	b0443	R	General function prediction only	POORLY CHARACTERIZED
P25746	High frequency lysogenization protein hflD OS=Escherichia coli (strain K12) GN=hflD PE=1 SV=1	hflD	2	137.05	22915.1599	2	b1132	R	General function prediction only	POORLY CHARACTERIZED
P76341	5-hydroxyisourate hydrolase OS=Escherichia coli (strain K12) GN=hiuH PE=1 SV=1	hiuH	2	65.48	15432.0562	2	b1970	R	General function prediction only	POORLY CHARACTERIZED
P10423	Alkaline phosphatase isozyme conversion protein OS=Escherichia coli (strain K12) GN=iap PE=3 SV=1	iap	2	67.76	37878.3501	1	b2753	R	General function prediction only	POORLY CHARACTERIZED
P0A754	Glutathione-regulated potassium-efflux system ancillary protein kefF OS=Escherichia coli (strain K12) GN=kefF PE=1 SV=1	kefF	2	116.08	20139.01031	1	b0046	R	General function prediction only	POORLY CHARACTERIZED
P37339	L-2-hydroxyglutarate oxidase LhgO OS=Escherichia coli (strain K12) GN=lhgO PE=1 SV=3	lhgO	2	133.96	46034.50872	2	b2660	R	General function prediction only	POORLY CHARACTERIZED
P77791	Maltose O-acetyltransferase OS=Escherichia coli (strain K12) GN=maa PE=1 SV=3	maa	2	185.09	20065.24705	2	b0459	R	General function prediction only	POORLY CHARACTERIZED
P43671	Paraquat-inducible protein B OS=Escherichia coli (strain K12) GN=pqiB PE=2 SV=2	pqiB	2	46.18	60464.49609	1	b0951	R	General function prediction only	POORLY CHARACTERIZED
P0C0K3	Protein rdoA OS=Escherichia coli (strain K12) GN=rdoA PE=1 SV=1	rdoA	2	60.06	38078.10676	2	b3859	R	General function prediction only	POORLY CHARACTERIZED
P27240	Lipopolysaccharide core heptose(II) kinase rfaY OS=Escherichia coli (strain K12) GN=rfaY PE=3 SV=2	rfaY	2	32.62	27425.62615	2	b3625	R	General function prediction only	POORLY CHARACTERIZED
P75782	Ribosomal RNA large subunit methyltransferase F OS=Escherichia coli (strain K12) GN=rlmF PE=1 SV=2	rlmF	2	77.17	34186.48259	2	b0807	R	General function prediction only	POORLY CHARACTERIZED
P0AFR0	NTE family protein rssA OS=Escherichia coli (strain K12) GN=rssA PE=1 SV=2	rssA	2	49.82	33028.14004	1	b1234	R	General function prediction only	POORLY CHARACTERIZED
P33667	tRNA 2-selenouridine synthase OS=Escherichia coli (strain K12) GN=selU PE=1 SV=2	selU	2	112.71	41066.7926	1	b0503	R	General function prediction only	POORLY CHARACTERIZED
P77368	UPF0098 protein ybcL OS=Escherichia coli (strain K12) GN=ybcL PE=1 SV=1	ybcL	2	142.76	19445.74199	1	b0545	R	General function prediction only	POORLY CHARACTERIZED
P0A8Z3	Acyl-CoA thioester hydrolase YbgC OS=Escherichia coli (strain K12) GN=ybgC PE=1 SV=1	ybgC	2	228.65	15533.91918	1	b0736	R	General function prediction only	POORLY CHARACTERIZED
P75785	Putative phosphoethanolamine transferase ybiP OS=Escherichia coli (strain K12) GN=ybiP PE=1 SV=1	ybiP	2	71.59	59650.54813	1	b0815	R	General function prediction only	POORLY CHARACTERIZED
P37757	Uncharacterized isomerase yddE OS=Escherichia coli (strain K12) GN=yddE PE=1 SV=2	yddE	2	89.93	32280.54451	2	b1464	R	General function prediction only	POORLY CHARACTERIZED
P76121	Uncharacterized protein yddH OS=Escherichia coli (strain K12) GN=yddH PE=3 SV=2	yddH	2	127.2	20935.58134	2	b1462	R	General function prediction only	POORLY CHARACTERIZED
P76234	Uncharacterized protein yeaE OS=Escherichia coli (strain K12) GN=yeaE PE=4 SV=1	yeaE	2	82.78	30948.75855	1	b1781	R	General function prediction only	POORLY CHARACTERIZED
P76539	Acetyltransferase YpeA OS=Escherichia coli (strain K12) GN=ypeA PE=3 SV=2	ypeA	2	113.78	16283.10396	2	b2434	R	General function prediction only	POORLY CHARACTERIZED
P0ADW8	Uncharacterized protein yheV OS=Escherichia coli (strain K12) GN=yheV PE=4 SV=1	yheV	2	172.29	7575.64462	1	b4551	R	General function prediction only	POORLY CHARACTERIZED
P39353	Uncharacterized oxidoreductase yjhC OS=Escherichia coli (strain K12) GN=yjhC PE=3 SV=2	yjhC	2	97.51	41339.58738	1	b4280	R	General function prediction only	POORLY CHARACTERIZED
P75713	Uncharacterized protein ylbA OS=Escherichia coli (strain K12) GN=ylbA PE=1 SV=1	ylbA	2	93.91	28694.14792	2	b0515	R	General function prediction only	POORLY CHARACTERIZED
P0AA57	Protein YobA OS=Escherichia coli (strain K12) GN=yobA PE=1 SV=1	yobA	2	41.7	13383.99032	2	b1841	R	General function prediction only	POORLY CHARACTERIZED
P77279	Uncharacterized ABC transporter ATP-binding protein YbbL OS=Escherichia coli (strain K12) GN=ybbL PE=1 SV=1	fetA	2	121.29	25348.13345	2	b0490	R	General function prediction only	POORLY CHARACTERIZED
P64612	Uncharacterized protein YhcM OS=Escherichia coli (strain K12) GN=yhcM PE=1 SV=1	zapE	2	58.27	43018.03749	2	b3232	R	General function prediction only	POORLY CHARACTERIZED
P0A8Y8	Esterase YbdB OS=Escherichia coli (strain K12) GN=ybdB PE=1 SV=1	entH	2	163.4	14942.35231	2	b0597	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
P77608	2-keto-4-pentenoate hydratase OS=Escherichia coli (strain K12) GN=mhpD PE=1 SV=2	mhpD	2	114.79	28853.7562	1	b0350	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
P0A9T8	Uncharacterized ABC transporter ATP-binding protein YbbA OS=Escherichia coli (strain K12) GN=ybbA PE=3 SV=1	ybbA	2	146.93	24499.8241	2	b0495	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
P0ABF4	Ethanolamine utilization protein EutM OS=Escherichia coli (strain K12) GN=eutM PE=1 SV=1	eutM	2	166.04	9841.19138	2	b2457	QC	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
P37327	Inner membrane protein yfdC OS=Escherichia coli (strain K12) GN=yfdC PE=1 SV=1	yfdC	2	82.78	34462.77374	2	b2347	P	Inorganic ion transport and metabolism	METABOLISM
P69488	Divalent-cation tolerance protein CutA OS=Escherichia coli (strain K12) GN=cutA PE=1 SV=1	cutA	2	102.68	12305.21781	2	b4137	P	Inorganic ion transport and metabolism	METABOLISM
P33650	Ferrous iron transport protein B OS=Escherichia coli (strain K12) GN=feoB PE=1 SV=1	feoB	2	151.09	84400.82244	2	b3409	P	Inorganic ion transport and metabolism	METABOLISM
P13039	Enterochelin esterase OS=Escherichia coli (strain K12) GN=fes PE=1 SV=1	fes	2	109.33	42524.57524	2	b0585	P	Inorganic ion transport and metabolism	METABOLISM
P0AC23	Probable formate transporter 1 OS=Escherichia coli (strain K12) GN=focA PE=1 SV=1	focA	2	112.55	30951.9479	2	b0904	P	Inorganic ion transport and metabolism	METABOLISM
P0AFJ1	Protein phnA OS=Escherichia coli (strain K12) GN=phnA PE=4 SV=1	phnA	2	103.14	12318.96123	2	b4108	P	Inorganic ion transport and metabolism	METABOLISM
P37028	Vitamin B12-binding protein OS=Escherichia coli (strain K12) GN=btuF PE=1 SV=2	btuF	2	189.51	29330.50774	1	b0158	P	Inorganic ion transport and metabolism	METABOLISM
P27838	Protein CyaY OS=Escherichia coli (strain K12) GN=cyaY PE=1 SV=1	cyaY	2	107.66	12205.80259	2	b3807	P	Inorganic ion transport and metabolism	METABOLISM
P0AEB0	Sulfate transport system permease protein CysW OS=Escherichia coli (strain K12) GN=cysW PE=1 SV=1	cysW	2	132.75	32498.35892	2	b2423	P	Inorganic ion transport and metabolism	METABOLISM
P0A9A2	Ferritin-like protein 2 OS=Escherichia coli (strain K12) GN=ftnB PE=3 SV=1	ftnB	2	55.48	18864.3173	1	b1902	P	Inorganic ion transport and metabolism	METABOLISM
P31547	D-methionine transport system permease protein metI OS=Escherichia coli (strain K12) GN=metI PE=1 SV=1	metI	2	197.47	23222.84957	2	b0198	P	Inorganic ion transport and metabolism	METABOLISM
P0ABK9	Cytochrome c-552 OS=Escherichia coli (strain K12) GN=nrfA PE=1 SV=1	nrfA	2	83.34	53650.73241	2	b4070	P	Inorganic ion transport and metabolism	METABOLISM
P0AEC0	UPF0053 inner membrane protein yoaE OS=Escherichia coli (strain K12) GN=yoaE PE=1 SV=1	yoaE	2	55.81	56474.01734	2	b1816	P	Inorganic ion transport and metabolism	METABOLISM
P23878	Ferric enterobactin transport ATP-binding protein FepC OS=Escherichia coli (strain K12) GN=fepC PE=3 SV=2	fepC	2	190.02	29747.48938	2	b0588	PH	Inorganic ion transport and metabolism	METABOLISM
P32703	Uncharacterized Na(+)/H(+) exchanger yjcE OS=Escherichia coli (strain K12) GN=yjcE PE=3 SV=1	yjcE	2	83.5	60465.76178	2	b4065	P	Inorganic ion transport and metabolism	METABOLISM
P0A6M2	Disulfide bond formation protein B OS=Escherichia coli (strain K12) GN=dsbB PE=1 SV=1	dsbB	2	81.7	20110.56132	2	b1185	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P52644	Heat shock protein hslJ OS=Escherichia coli (strain K12) GN=hslJ PE=1 SV=1	hslJ	2	107.67	15137.58295	2	b1379	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P77570	Anhydro-N-acetylmuramic acid kinase OS=Escherichia coli (strain K12) GN=anmK PE=1 SV=1	anmK	2	92.82	39453.35123	2	b1640	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P16701	Sulfate transport system permease protein CysT OS=Escherichia coli (strain K12) GN=cysU PE=3 SV=1	cysU	2	232.1	30254.2464	2	b2424	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0AGG4	Thioredoxin-2 OS=Escherichia coli (strain K12) GN=trxC PE=1 SV=1	trxC	2	79.39	15526.69435	2	b2582	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0AC65	Glutaredoxin-like protein nrdH OS=Escherichia coli (strain K12) GN=nrdH PE=1 SV=1	nrdH	2	72.08	9115.52639	1	b2673	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0AA53	Protein QmcA OS=Escherichia coli (strain K12) GN=qmcA PE=1 SV=1	qmcA	2	131.29	33703.72147	2	b0489	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0AA31	UPF0033 protein yedF OS=Escherichia coli (strain K12) GN=yedF PE=1 SV=1	yedF	2	272.93	8615.38263	2	b1930	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0A6S0	Flagellar L-ring protein OS=Escherichia coli (strain K12) GN=flgH PE=3 SV=1	flgH	2	93.42	24582.36131	2	b1079	N	Cell motility	CELLULAR PROCESSES AND SIGNALING
P07363	Isoform cheA(S) of Chemotaxis protein CheA OS=Escherichia coli (strain K12) GN=cheA	cheA	2	75.66	71319.95878	2	b1888	NT	Cell motility	CELLULAR PROCESSES AND SIGNALING
P76501	Uncharacterized protein yfcR OS=Escherichia coli (strain K12) GN=yfcR PE=4 SV=1	yfcR	2	56.09	17860.909	1	b2335	NU	Cell motility	CELLULAR PROCESSES AND SIGNALING
P0A6B4	Alanine racemase, biosynthetic OS=Escherichia coli (strain K12) GN=alr PE=1 SV=1	alr	2	137.16	39110.1558	2	b4053	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P26365	N-acetylmuramoyl-L-alanine amidase AmiB OS=Escherichia coli (strain K12) GN=amiB PE=1 SV=2	amiB	2	125.68	47937.87141	2	b4169	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P24228	D-alanyl-D-alanine carboxypeptidase dacB OS=Escherichia coli (strain K12) GN=dacB PE=1 SV=2	dacB	2	45.51	51747.53005	2	b3182	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P23930	Apolipoprotein N-acyltransferase OS=Escherichia coli (strain K12) GN=lnt PE=1 SV=1	lnt	2	100.21	57011.19269	2	b0657	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0A6W3	Phospho-N-acetylmuramoyl-pentapeptide-transferase OS=Escherichia coli (strain K12) GN=mraY PE=1 SV=1	mraY	2	63.52	39830.55502	2	b0087	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0A915	Outer membrane protein W OS=Escherichia coli (strain K12) GN=ompW PE=1 SV=1	ompW	2	221.03	22895.28127	2	b1256	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P19934	Protein tolA OS=Escherichia coli (strain K12) GN=tolA PE=1 SV=1	tolA	2	145.39	43112.47725	2	b0739	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0ADC3	Lipoprotein-releasing system transmembrane protein lolC OS=Escherichia coli (strain K12) GN=lolC PE=1 SV=1	lolC	2	159.68	43217.91251	2	b1116	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0AEH1	Regulator of sigma E protease OS=Escherichia coli (strain K12) GN=rseP PE=1 SV=1	rseP	2	67.52	49022.40986	2	b0176	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P75821	Uncharacterized protein ybjS OS=Escherichia coli (strain K12) GN=ybjS PE=4 SV=2	ybjS	2	106.5	38043.37864	2	b0868	MG	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P76373	UDP-glucose 6-dehydrogenase OS=Escherichia coli (strain K12) GN=ugd PE=1 SV=1	ugd	2	45.92	43611.48516	1	b2028	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P76112	Uncharacterized N-acetyltransferase YncA OS=Escherichia coli (strain K12) GN=yncA PE=3 SV=1	mnaT	2	118.04	19217.57217	2	b1448	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0C079	Antitoxin RelB OS=Escherichia coli (strain K12) GN=relB PE=1 SV=1	relB	2	36.21	9047.79287	2	b1564	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P0A7Y4	Ribonuclease HI OS=Escherichia coli (strain K12) GN=rnhA PE=1 SV=1	rnhA	2	99.7	17567.83941	2	b0214	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P10442	Ribonuclease HII OS=Escherichia coli (strain K12) GN=rnhB PE=1 SV=2	rnhB	2	73.52	21494.37992	2	b0183	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P13458	Nuclease sbcCD subunit C OS=Escherichia coli (strain K12) GN=sbcC PE=1 SV=1	sbcC	2	90.8	118630.9679	2	b0397	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P0A8G0	UvrABC system protein C OS=Escherichia coli (strain K12) GN=uvrC PE=1 SV=1	uvrC	2	79.82	68127.44655	2	b1913	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P0AEE8	DNA adenine methylase OS=Escherichia coli (strain K12) GN=dam PE=1 SV=1	dam	2	65.09	32061.2339	1	b3387	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P03007	DNA polymerase III subunit epsilon OS=Escherichia coli (strain K12) GN=dnaQ PE=1 SV=1	dnaQ	2	119.96	27063.74021	2	b0215	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P28632	DNA polymerase III subunit psi OS=Escherichia coli (strain K12) GN=holD PE=1 SV=1	holD	2	168.57	15146.81145	2	b4372	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P17888	Primosomal protein N' OS=Escherichia coli (strain K12) GN=priA PE=1 SV=2	priA	2	79.5	81585.87993	1	b3935	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P0AAZ4	Replication-associated recombination protein A OS=Escherichia coli (strain K12) GN=rarA PE=1 SV=1	rarA	2	63.94	49577.22431	2	b0892	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P08394	Exodeoxyribonuclease V beta chain OS=Escherichia coli (strain K12) GN=recB PE=1 SV=1	recB	2	41.27	133856.9054	1	b2820	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P04993	Exodeoxyribonuclease V alpha chain OS=Escherichia coli (strain K12) GN=recD PE=1 SV=2	recD	2	73.02	66842.66984	1	b2819	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P0A7H0	DNA replication and repair protein recF OS=Escherichia coli (strain K12) GN=recF PE=1 SV=2	recF	2	141.59	40470.76023	1	b3700	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P45771	Uncharacterized protein yrdD OS=Escherichia coli (strain K12) GN=yrdD PE=4 SV=2	yrdD	2	63.81	19839.65187	2	b3283	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P05824	DNA repair protein recN OS=Escherichia coli (strain K12) GN=recN PE=1 SV=2	recN	2	98.23	61340.14293	1	b2616	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P30014	Ribonuclease T OS=Escherichia coli (strain K12) GN=rnt PE=1 SV=1	rnt	2	169.1	23489.59336	2	b1652	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P0ADX9	Ribosomal RNA small subunit methyltransferase D OS=Escherichia coli (strain K12) GN=rsmD PE=1 SV=1	rsmD	2	58.23	21646.15383	2	b3465	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
