KEGG ID	Gene name	Definition
b3888	yiid, eck3881, jw3859	predicted acetyltransferase
b3889	yiie, eck3882, jw5929	predicted transcriptional regulator
b3890	yiif, eck3883, jw5563	conserved protein
b3891	fdhe, eck3884, jw3862	formate dehydrogenase formation protein
b3892	fdoi, eck3885, jw3863	formate dehydrogenase-o, cytochrome b556 subunit
b3893	fdoh, eck3886, jw3864	formate dehydrogenase-o, fe-s subunit
b3894	fdog, eck3887, jw3865	formate dehydrogenase-o, large subunit (ec:1,2,1,2)
b3895	fdhd, eck3888, jw3866	formate dehydrogenase formation protein
b3896	yiig, eck3889, jw3867	conserved protein
b3897	frvr, eck3890, jw3868, yiih	predicted regulator
b3898	frvx, eck3891, jw3869, yiii	predicted endo-1,4-beta-glucanase
b3899	frvb, eck3892, jw5562, yiij	fused predicted pts enzymes: iib component/iic component
b3900	frva, eck3893, jw3871, yiik	predicted enzyme iia component of pts (ec:2,7,1,69)
b3901	rham, eck3894, jw3872, yiil	l-rhamnose mutarotase
b3902	rhad, eck3895, jw3873	rhamnulose-1-phosphate aldolase (ec:4,1,2,19)
b3903	rhaa, eck3896, jw5561	l-rhamnose isomerase (ec:5,3,1,14)
b3904	rhab, eck3897, jw3875	rhamnulokinase (ec:2,7,1,5)
b3905	rhas, eck3898, jw3876, rhac2	dna-binding transcriptional activator, l-rhamnose-binding
b3906	rhar, eck3899, jw3877, rhac1	dna-binding transcriptional activator, l-rhamnose-binding
b3907	rhat, eck3900, jw3878	l-rhamnose:proton symporter
b3908	soda, eck3901, jw3879	superoxide dismutase, mn (ec:1,15,1,1)
b3909	kdgt, eck3902, jw5560	2-keto-3-deoxy-d-gluconate transporter
b3910	yiim, eck3903, jw5559	conserved protein
b3911	cpxa, ecfb, eck3904, eup, jw3882, rsse, ssd	sensory histidine kinase in two-component regulatory system with
b3912	cpxr, eck3905, jw3883, yiia	dna-binding response regulator in two-component regulatory system
b3915	fief, eck3907, jw3886, yiip	zinc transporter
b3916	pfka, eck3908, jw3887	6-phosphofructokinase i (ec:2,7,1,11)
b3917	sbp, eck3909, jw3888	sulfate transporter subunit
b3918	cdh, eck3910, jw3889, pnue, ushb	cdp-diacylglycerol phosphotidylhydrolase (ec:3,6,1,26)
b3919	tpia, eck3911, jw3890, tpi	triosephosphate isomerase (ec:5,3,1,1)
b3920	yiiq, eck3912, jw3891	conserved protein
b3921	yiir, eck3913, jw3892	conserved inner membrane protein
b3922	yiis, eck3914, jw3893	conserved protein
b3923	uspd, eck3915, jw3894, yiit	stress-induced protein
b3924	fpr, eck3916, flxr, jw3895	ferredoxin-nadp reductase (ec:1,18,1,2)
b3925	glpx, eck3917, jw3896	fructose 1,6-bisphosphatase ii (ec:3,1,3,11)
b3926	glpk, eck3918, jw3897	glycerol kinase (ec:2,7,1,30)
b3927	glpf, eck3919, jw3898	glycerol facilitator
b3928	zapb, eck3920, jw3899, yiiu	conserved protein
b3929	rraa, eck3921, jw3900, meng, yiiv	ribonuclease e (rnase e) inhibitor protein
b3930	mena, eck3922, jw3901, yiiw	1,4-dihydroxy-2-naphthoate octaprenyltransferase (ec:2,5,1,-)
b3931	hslu, clpy, eck3923, htpi, jw3902	molecular chaperone and atpase component of hsluv protease
b3932	hslv, clpq, eck3924, htpo, jw3903, yiic	peptidase component of the hsluv protease (ec:3,4,25,-)
b3933	ftsn, eck3925, jw3904, msga	essential cell division protein
b3934	cytr, eck3926, jw3905	dna-binding transcriptional dual regulator
b3935	pria, eck3927, jw3906, srga	primosome factor n' (replication factor y)
b3936	rpme, eck3928, jw3907	50s ribosomal subunit protein l31
b3937	yiix, eck3929, jw3908	predicted peptidoglycan peptidase
b3938	metj, eck3930, jw3909	dna-binding transcriptional repressor, s-adenosylmethionine-binding
b3939	metb, eck3931, jw3910, met-1	cystathionine gamma-synthase, plp-dependent (ec:2,5,1,48)
b3940	metl, eck3932, jw3911, metm	fused aspartokinase ii/homoserine dehydrogenase ii (ec:2,7,2,4
b3941	metf, eck3933, jw3913	5,10-methylenetetrahydrofolate reductase (ec:1,5,1,20)
b3942	katg, eck3934, jw3914	catalase/hydroperoxidase hpi(i) (ec:1,11,1,6)
b3943	yije, eck3935, jw5557	predicted permease
b3944	yijf, eck3936, jw3916	conserved protein
b3945	glda, eck3937, jw5556	glycerol dehydrogenase, nad (ec:1,1,1,6)
b3946	fsab, eck3938, jw3918, talc, yijg	fructose-6-phosphate aldolase 2 (ec:4,1,2,-)
b3947	ptsa, eck3939, frwa, jw5555, yijh	fused predicted pts enzymes: hpr component/enzyme i component/enzyme
b3949	frwc, eck3940, jw3921, yijj	predicted enzyme iic component of pts
b3950	frwb, eck3941, jw3922, yijk	predicted enzyme iib component of pts (ec:2,7,1,69)
b3951	pfld, eck3942, jw3923, yijl	predicted formate acetyltransferase 2 (pyruvate formate lyase ii)
b3952	pflc, eck3943, jw3924, yijm	pyruvate formate lyase ii activase
b3953	frwd, eck3944, jw3925, yijn	predicted enzyme iib component of pts (ec:2,7,1,69)
b3954	yijo, eck3945, jw3926	predicted dna-binding transcriptional regulator
b3955	yijp, eck3946, jw3927	conserved inner membrane protein
b3956	ppc, asp, eck3947, glu, jw3928	phosphoenolpyruvate carboxylase (ec:4,1,1,31)
b3957	arge, arg4, arga, eck3948, jw3929	acetylornithine deacetylase (ec:3,5,1,16)
b3958	argc, arg2, argh, eck3949, jw3930	n-acetyl-gamma-glutamylphosphate reductase, nad(p)-binding
b3959	argb, eck3950, jw5553	acetylglutamate kinase (ec:2,7,2,8)
b3960	argh, eck3951, jw3932	argininosuccinate lyase (ec:4,3,2,1)
b3961	oxyr, eck3953, jw3933, momr, mor	dna-binding transcriptional dual regulator
b3962	stha, eck3954, jw5551, sth, udha	pyridine nucleotide transhydrogenase, soluble (ec:1,6,1,1)
b3963	fabr, eck3955, jw3935, yijc	dna-binding transcriptional repressor
b3964	yijd, eck3956, jw3936	conserved inner membrane protein
b3965	trma, eck3957, jw3937	trna m(5)u54 methyltransferase, sam-dependen (ec:2,1,1,35)
b3966	btub, bfe, cer, dcrc, eck3958, jw3938	vitamin b12/cobalamin outer membrane transporter
b3967	muri, dga, eck3959, glr, jw5550, yija	glutamate racemase (ec:5,1,1,3)
b3968	rrsb, eck3960, jwr0099	16s ribosomal rna of rrnb operon
b3969	gltt, eck3961, jwr0100, tgtb	trna-glu
b3970	rrlb, eck3962, jwr0101	23s ribosomal rna of rrnb operon
b3972	murb, eck3964, jw3940, yijb	udp-n-acetylenolpyruvoylglucosamine reductase, fad-binding
b3973	bira, bior, dhbb, eck3965, jw3941	bifunctional biotin-
b3974	coaa, eck3966, jw3942, pank, rts, ts-9	pantothenate kinase (ec:2,7,1,33)
b3976	thru, eck3967, jwr0103	trna-thr
b3978	glyt, eck3969, jwr0105, suma, sup15b, supa36	trna-gly
b3979	thrt, eck3970, jwr0106	trna-thr
b3980	tufb, eck3971, jw3943, kirt, pult	protein chain elongation factor ef-tu (duplicate of tufa)
b3981	sece, eck3972, jw3944, mbrc, prlg	preprotein translocase membrane subunit
b3982	nusg, eck3973, jw3945	transcription termination factor
b3983	rplk, eck3974, jw3946, relc	50s ribosomal subunit protein l11
b3984	rpla, eck3975, jw3947, rpy	50s ribosomal subunit protein l1
b3985	rplj, eck3976, jw3948	50s ribosomal subunit protein l10
b3986	rpll, eck3977, jw3949	50s ribosomal subunit protein l7/l12
b3987	rpob, eck3978, ftsr, gron, jw3950, nitb, rif, ron, sdgb, stl, stv,	rna polymerase, beta subunit (ec:2,7,7,6)
b3988	rpoc, eck3979, jw3951, tabb	rna polymerase, beta prime subunit (ec:2,7,7,6)
b3989	yjaz, eck3980, htrc, jw3952	heat shock protein
b3990	thih, eck3981, jw3953, thib	thiamin biosynthesis thigh complex subunit
b3991	thig, eck3982, jw5549, thib	thiamin biosynthesis thigh complex subunit
b3992	thif, eck3984, jw3956, thia	thiamin (thiazole moiety) biosynthesis protein (ec:2,7,7,-)
b3993	thie, eck3985, jw3957, thia	thiamin phosphate synthase (thiamin phosphate pyrophosphorylase)
b3994	thic, eck3986, jw3958	thiamin (pyrimidine moiety) biosynthesis protein
b3995	rsd, eck3987, jw3959	stationary phase protein, binds sigma 70 rna polymerase subunit
b3996	nudc, eck3988, jw5548, yjad	nadh pyrophosphatase
b3997	heme, eck3989, hemc, jw3961	uroporphyrinogen decarboxylase (ec:4,1,1,37)
b3998	nfi, eck3990, jw5547, yjaf	endonuclease v (ec:3,1,21,7)
b3999	yjag, eck3991, jw3963	conserved protein
b4000	hupa, eck3992, jw3964	hu, dna-binding transcriptional regulator, alpha subunit
b4001	yjah, eck3993, jw3965	conserved protein
b4002	zrap, eck3994, jw5546, yjai, zra	zn-binding periplasmic protein
b4003	zras, eck3995, hydh, jw3967	sensory histidine kinase in two-component regulatory system with
b4004	zrar, eck3996, hydg, jw3968	fused dna-binding response regulator in two-component regulatory
b4005	purd, adth, eck3997, jw3969	phosphoribosylglycinamide synthetase phosphoribosylamine-glycine
b4006	purh, eck3998, jw3970	fused imp cyclohydrolase/phosphoribosylaminoimidazolecarboxamide
b4009	rrle, eck4001, jwr0109	23s ribosomal rna of rrne operon
b4011	yjaa, eck4003, jw3971	conserved protein
b4012	yjab, eck4004, jw3972	predicted acetyltransferase
b4013	meta, eck4005, jw3973	homoserine o-transsuccinylase (ec:2,3,1,46)
b4014	aceb, eck4006, jw3974, mas	malate synthase a (ec:2,3,3,9)
b4015	acea, eck4007, icl, jw3975	isocitrate lyase (ec:4,1,3,1)
b4016	acek, eck4008, jw3976	isocitrate dehydrogenase kinase/phosphatase (ec:2,7,11,5)
b4017	arpa, eck4009, jw3977, yjac	ankyrin repeat protein, function unknown
b4018	iclr, eck4010, jw3978	dna-binding transcriptional repressor
b4019	meth, eck4011, jw3979	homocysteine-n5-methyltetrahydrofolate transmethylase, b12-dependent
b4020	yjbb, eck4012, jw3980	predicted transporter
b4021	pepe, eck4013, jw3981	(alpha)-aspartyl dipeptidase (ec:3,4,13,21)
b4022	rluf, eck4014, jw3982, yjbc	23s rrna u2604 pseudouridine synthase (ec:4,2,1,70)
b4023	pagb, eck4015, jw3983, yjbd	conserved protein
b4024	lysc, apk, eck4016, jw3984	aspartokinase iii (ec:2,7,2,4)
b4025	pgi, eck4017, jw3985	glucosephosphate isomerase (ec:5,3,1,9)
b4026	yjbe, eck4018, jw3986	predicted protein
b4027	yjbf, eck4019, jw5711	predicted lipoprotein
b4028	yjbg, eck4020, jw3988	conserved protein
b4029	yjbh, eck4021, jw3989	predicted porin
b4030	psie, eck4022, jw3990, yjba	predicted phosphate starvation inducible protein
b4031	xyle, eck4023, jw3991	d-xylose transporter
b4032	malg, eck4024, jw3992, malj	maltose transporter subunit
b4033	malf, eck4025, jw3993, malj	maltose transporter subunit
b4034		
b4035	malk, eck4027, jw3995	fused maltose transport subunit, atp-binding component of abc
b4036	lamb, eck4028, jw3996, malb, mall	maltose outer membrane porin (maltoporin)
b4037	malm, eck4029, jw3997, mola	maltose regulon periplasmic protein
b4038	yjbi, eck4030, jw3998	pseudogene
b4039	ubic, eck4031, jw5713	chorismate pyruvate lyase (ec:4,1,3,-)
b4040	ubia, cyr, eck4032, jw4000	p-hydroxybenzoate octaprenyltransferase (ec:2,5,1,-)
b4041	plsb, eck4033, jw4001	glycerol-3-phosphate o-acyltransferase (ec:2,3,1,15)
b4042	dgka, eck4034, jw4002	diacylglycerol kinase (ec:2,7,1,107)
b4043		
b4044	dinf, eck4036, jw4004	dna-damage-inducible sos response protein
b4045	yjbj, eck4037, jw4005	predicted stress response protein
b4046	zur, eck4038, jw5714, yjbk	dna-binding transcriptional repressor, zn(ii)-binding
b4047	yjbl, eck4039, jw4007	predicted protein
b4048	yjbm, eck4040, jw4008	predicted protein
b4049	dusa, eck4041, jw5950, yjbn	trna-dihydrouridine synthase a
b4050	pspg, eck4042, jw5716, yjbo	phage shock protein g
b4051	qora, eck4043, hcz, hzc, jw4011, qor	quinone oxidoreductase, nadph-dependent (ec:1,6,5,5)
b4052	dnab, eck4044, grop, grpa, grpd, jw4012	replicative dna helicase (ec:3,6,1,-)
b4053	alr, eck4045, jw4013	alanine racemase 1, plp-binding, biosynthetic (ec:5,1,1,1)
b4054	tyrb, eck4046, jw4014	tyrosine aminotransferase, tyrosine-repressible, plp-dependent
b4055	apha, eck4047, hobh, jw4015, napa, yjbp	acid phosphatase/phosphotransferase, class b, non-specific
b4056	yjbq, eck4048, jw4017	conserved protein
b4057	yjbr, eck4049, jw4018	conserved protein
b4058	uvra, dar, eck4050, jw4019	atpase and dna damage recognition protein of nucleotide excision
b4059	ssb, eck4051, exrb, jw4020, lexc	single-stranded dna-binding protein
b4060	yjcb, eck4052, jw5718	predicted inner membrane protein
b4061	yjcc, eck4053, jw4022	predicted signal transduction protein (eal domain containing
b4062	soxs, eck4054, jw4023	dna-binding transcriptional dual regulator
b4063	soxr, eck4055, jw4024, marc	dna-binding transcriptional dual regulator, fe-s center for
b4064	yjcd, eck4057, jw4025	predicted permease
b4065	yjce, eck4058, jw4026	predicted cation/proton antiporter
b4066	yjcf, eck4059, jw4027	conserved protein
b4067	actp, eck4060, jw4028, yjcg	acetate transporter
b4068	yjch, eck4061, jw4029	conserved inner membrane protein involved in acetate transport
b4069	acs, acsa, eck4062, jw4030, yfac	acetyl-coa synthetase (ec:6,2,1,1)
b4070	nrfa, eck4063, jw4031	nitrite reductase, formate-dependent, cytochrome
b4071	nrfb, eck4064, jw4032, yjci	nitrite reductase, formate-dependent, penta-heme cytochrome c
b4072	nrfc, eck4065, jw4033, yjcj	formate-dependent nitrite reductase, 4fe4s subunit
b4073	nrfd, eck4066, jw4034, yjck	formate-dependent nitrite reductase, membrane subunit
b4074	nrfe, eck4067, jw4035, yjcl	heme lyase (nrfefg) for insertion of heme into c552, subunit nrfe
b4075	nrff, eck4068, jw4036, yjcm	heme lyase (nrfefg) for insertion of heme into c552, subunit nrff
b4076	nrfg, aidc, eck4069, jw4037, yjcn	heme lyase (nrfefg) for insertion of heme into c552, subunit nrfg
b4077	gltp, eck4070, jw4038	glutamate/aspartate:proton symporter
b4078	yjco, eck4071, jw4039	conserved protein
b4079	fdhf, eck4072, jw4040	formate dehydrogenase-h, selenopolypeptide subunit (ec:1,2,1,2)
b4080	mdtp, eck4073, jw4041, yjcp	predicted outer membrane factor of efflux pump
b4081	mdto, eck4074, jw4042, yjcq	predicted multidrug efflux system component
b4082	mdtn, eck4075, jw4043, yjcr	predicted membrane fusion protein of efflux pump
b4083	yjcs, eck4076, jw5721	predicted alkyl sulfatase
b4084	alsk, eck4077, jw5724, yjct	d-allose kinase (ec:2,7,1,55)
b4085	alse, eck4078, jw4046, yjcu	allulose-6-phosphate 3-epimerase
b4086	alsc, eck4079, jw4047, yjcv	d-allose transporter subunit
b4087	alsa, eck4080, jw4048, yjcw	fused d-allose transporter subunits of abc superfamily: atp-binding
b4088	alsb, eck4081, jw4049, yjcx	d-allose transporter subunit
b4089	rpir, alsr, eck4082, jw4050, yjcy	dna-binding transcriptional repressor
b4090	rpib, alsb, alsi, eck4083, jw4051, yjca	ribose 5-phosphate isomerase b/allose 6-phosphate isomerase
b4092	phnp, eck4085, jw4053	carbon-phosphorus lyase complex accessory protein
b4093	phno, eck4086, jw4054	predicted acyltransferase with acyl-coa n-acyltransferase domain
b4094	phnn, eck4087, jw4055	ribose 1,5-bisphosphokinase
b4095	phnm, eck4088, jw4056	carbon-phosphorus lyase complex subunit
b4096	phnl, eck4089, jw4057	carbon-phosphorus lyase complex subunit
b4097	phnk, eck4090, jw5727	carbon-phosphorus lyase complex subunit
b4098	phnj, eck4091, jw4059	carbon-phosphorus lyase complex subunit
b4099	phni, eck4092, jw4060	carbon-phosphorus lyase complex subunit
b4100	phnh, eck4093, jw4061	carbon-phosphorus lyase complex subunit
b4101	phng, eck4094, jw4062	carbon-phosphorus lyase complex subunit
b4102	phnf, eck4095, jw4063	predicted dna-binding transcriptional regulator of phosphonate
b4104	phne, eck4096, jw4064	pseudogene
b4105	phnd, eck4098, jw4066, psid	phosphonate/organophosphate ester transporter subunit
b4106	phnc, eck4099, jw4067	phosphonate/organophosphate ester transporter subunit
b4107	yjdn, eck4100, jw4068, phnb	conserved protein
b4108	yjdm, eck4101, jw4069, phna	conserved protein
b4109	yjda, eck4102, jw4070	conserved protein with nucleoside triphosphate hydrolase domain
b4110	yjcz, eck4103, jw5729	conserved protein
b4111	prop, eck4104, jw4072	proline/glycine betaine transporter
b4112	bass, eck4105, jw4073, pmrb	sensory histidine kinase in two-component regulatory system with
b4113	basr, eck4106, jw4074, pmra	dna-binding response regulator in two-component regulatory system
b4114	epta, eck4107, jw5730, yjdb	predicted metal dependent hydrolase
b4115	adic, anic, eck4108, jw4076, yjdd, yjde	arginine:agmatin
b4116	adiy, eck4109, jw4077	dna-binding transcriptional activator
b4117	adia, adi, eck4110, jw5731	biodegradative arginine decarboxylase (ec:4,1,1,19)
b4118	melr, eck4111, jw4079	dna-binding transcriptional dual regulator
b4119	mela, eck4112, jw4080, mel-7	alpha-galactosidase, nad(p)-binding (ec:3,2,1,22)
b4120	melb, eck4113, jw4081, mel-4	melibiose:sodium symporter
b4121	yjdf, eck4114, jw4082	conserved inner membrane protein
b4122	fumb, eck4115, jw4083	anaerobic class i fumarate hydratase (fumarase b) (ec:4,2,1,2)
b4123	dcub, eck4116, genf, jw4084	c4-dicarboxylate antiporter
b4124	dcur, eck4117, jw4085, yjdg	dna-binding response regulator in two-component regulatory system
b4125	dcus, eck4118, jw4086, yjdh	sensory histidine kinase in two-component regulatory system with
b4126	yjdi, eck4119, jw4087	conserved protein
b4127	yjdj, eck4120, jw4088	predicted acyltransferase with acyl-coa n-acyltransferase domain
b4128	yjdk, eck4121, jw4089	predicted protein
b4129	lysu, eck4123, jw4090	lysine trna synthetase, inducible (ec:6,1,1,6)
b4130	yjdl, eck4124, jw4091	predicted transporter
b4131	cada, eck4125, jw4092	lysine decarboxylase 1 (ec:4,1,1,18)
b4132	cadb, eck4126, jw4093	predicted lysine/cadaverine transporter
b4133	cadc, eck4127, jw4094	dna-binding transcriptional activator
b4135	yjdc, cuta3, eck4129, jw5733	predicted transcriptional regulator
b4136	dsbd, cuta2, cycz, dipz, eck4130, htri, jw5734	fused thiol:disulfide interchange protein: activator of
b4137	cuta, cuta1, cycy, eck4131, jw4097	copper binding protein, copper sensitivity
b4138	dcua, eck4132, gena, jw5735	c4-dicarboxylate antiporter
b4139	aspa, eck4133, jw4099	aspartate ammonia-lyase (ec:4,3,1,1)
b4140	fxsa, eck4134, jw4100, yjeg	inner membrane protein
b4141	yjeh, eck4135, jw4101	predicted transporter
b4142	gros, eck4136, groes, jw4102, mopb, tabb	cpn10 chaperonin groes, small subunit of groesl
b4143	grol, eck4137, groel, jw4103, mopa	cpn60 chaperonin groel, large subunit of groesl
b4144	yjei, eck4138, jw5736	conserved protein
b4145	yjej, eck4139, jw4105	predicted protein
b4146	yjek, eck4140, jw4106	predicted lysine aminomutase
b4147	efp, eck4141, jw4107	elongation factor ef-p
b4148	suge, eck4144, jw5738	multidrug efflux system protein
b4149	blc, eck4145, jw4110, yjel	outer membrane lipoprotein (lipocalin)
b4150	ampc, ampa, eck4146, jw4111	beta-lactamase/d-alanine carboxypeptidase (ec:3,5,2,6)
b4151	frdd, eck4147, jw4112	fumarate reductase (anaerobic), membrane anchor subunit
b4152	frdc, eck4148, jw4113	fumarate reductase (anaerobic), membrane anchor subunit
b4153	frdb, eck4149, jw4114	fumarate reductase (anaerobic), fe-s subunit (ec:1,3,99,1)
b4154	frda, eck4150, jw4115	fumarate reductase (anaerobic) catalytic and nad/flavoprotein
b4155	poxa, eck4151, genx, jw4116, yjea	predicted lysyl-trna synthetase
b4156	yjem, eck4152, jw5739	predicted transporter
b4157	yjen, eck4153, jw4118	predicted protein
b4158	yjeo, eck4154, jw4119	conserved inner membrane protein
b4159	yjep, eck4155, jw4120	predicted mechanosensitive channel
b4160	psd, eck4156, jw4121	phosphatidylserine decarboxylase (ec:4,1,1,65)
b4161	rsga, eck4157, jw4122, yjeq	ribosome small subunit-dependent gtpase a (ec:3,6,1,-)
b4162	orn, eck4158, jw5740, yjer	oligoribonuclease (ec:3,1,-,-)
b4165	glyy, eck4161, glyvgamma, jwr0114	trna-gly
b4166	yjes, eck4162, jw4124	predicted fe-s electron transport protein
b4167	yjef, eck4163, jw4125	predicted carbohydrate kinase
b4168	yjee, eck4164, jw4126	atpase with strong adp affinity
b4169	amib, eck4165, jw4127, yjed	n-acetylmuramoyl-l-alanine amidase ii (ec:3,5,1,28)
b4170	mutl, eck4166, jw4128	methyl-directed mismatch repair protein
b4171	miaa, eck4167, jw4129, trpx	delta(2)-isopentenylpyrophosphate trna-adenosine transferase
b4172	hfq, eck4168, jw4130	hf-i, host factor for rna phage q beta replication
b4173	hflx, eck4169, hfla, hslx, jw4131	predicted gtpase
b4174	hflk, eck4170, hfla, hsly, jw4132	modulator for hflb protease specific for phage lambda cii repressor
b4175	hflc, eck4171, hfla, jw4133	modulator for hflb protease specific for phage lambda cii repressor
b4176	yjet, eck4172, jw4134	conserved inner membrane protein
b4177	pura, eck4173, jw4135	adenylosuccinate synthetase (ec:6,3,4,4)
b4178	nsrr, eck4174, jw4136, yjeb	predicted dna-binding transcriptional regulator
b4179	rnr, eck4175, jw5741, vacb, yjec	exoribonuclease r, rnase r (ec:3,1,-,-)
b4180	rlmb, eck4176, jw4138, yjfh	23s rrna (gm2251)-methyltransferase (ec:2,1,1,-)
b4181	yjfi, eck4177, jw4139	conserved protein
b4182	yjfj, eck4178, jw4140	predicted transcriptional regulator effector protein
b4183	yjfk, eck4179, jw4141	conserved protein
b4184	yjfl, eck4180, jw4142	conserved inner membrane protein
b4185	yjfm, eck4181, jw4143	conserved protein
b4186	yjfc, eck4182, jw4144	predicted synthetase/amidase
b4187	aidb, eck4183, jw5867	isovaleryl coa dehydrogenase
b4188	yjfn, eck4184, jw5742	predicted protein
b4189	yjfo, eck4185, jw5743	conserved protein
b4190	yjfp, eck4186, jw4148	predicted hydrolase
b4191	ular, eck4187, jw4149, yjfq	dna-binding transcriptional dual regulator
b4192	ulag, eck4188, jw5868, yjfr	predicted l-ascorbate 6-phosphate lactonase
b4193	ulaa, eck4189, jw5744, sgat, yjfs	l-ascorbate-specific enzyme iic component of pts
b4194	ulab, eck4190, jw4152, sgab, yjft	l-ascorbate-specific enzyme iib component of pts (ec:2,7,1,69)
b4195	ulac, eck4191, jw4153, ptxa, sgaa, yjfu	l-ascorbate-specific enzyme iia component of pts (ec:2,7,1,69)
b4196	ulad, eck4192, jw4154, sgah, yjfv	3-keto-l-gulonate 6-phosphate decarboxylase (ec:4,1,2,-)
b4197	ulae, eck4193, jw4155, sgau, yjfw	l-xylulose 5-phosphate 3-epimerase (ec:5,1,3,22)
b4198	ulaf, eck4194, jw4156, sgae, yjfx	l-ribulose 5-phosphate 4-epimerase (ec:5,1,3,4)
b4199	yjfy, eck4195, jw4157	predicted protein
b4200	rpsf, eck4196, jw4158, sdgh	30s ribosomal subunit protein s6
b4201	prib, eck4197, jw4159	primosomal protein n
b4202	rpsr, eck4198, jw4160	30s ribosomal subunit protein s18
b4203	rpli, eck4199, jw4161	50s ribosomal subunit protein l9
b4204	yjfz, eck4200, jw4162	predicted protein
b4205	ytfa, eck4201, jw4163	pseudogene
b4206	ytfb, eck4202, jw5745	predicted cell envelope opacity-associated protein
b4207	fklb, eck4203, jw5746, ytfc	fkbp-type peptidyl-prolyl cis-trans isomerase (rotamase)
b4208	cyca, daga, eck4204, jw4166, ytfd	d-alanine/d-serine/glycine transporter
b4209	ytfe, dnrn, eck4205, jw4167	predicted regulator of cell morphogenesis and cell wall metabolism
b4210	ytff, eck4206, jw4168	predicted inner membrane protein
b4211	qorb, eck4207, jw4169, qor2, ytfg	nad(p)h:quinone oxidoreductase
b4212	ytfh, eck4208, jw5747	predicted transcriptional regulator
b4213	cpdb, eck4209, jw4171	2':3'-cyclic-nucleotide 2'-phosphodiesterase (ec:3,1,4,16)
b4214	cysq, amt, amta, eck4210, jw4172	paps (adenosine 3'-phosphate 5'-phosphosulfate)
b4215	ytfi, eck4211, jw5748	predicted protein
b4216	ytfj, ecfj, eck4212, jw4175	predicted transcriptional regulator
b4217	ytfk, eck4213, jw5749	conserved protein
b4218	ytfl, eck4214, jw4177	predicted inner membrane protein
b4219	msra, eck4215, jw4178, pms, pmsr	methionine sulfoxide reductase a (ec:1,8,4,11)
b4220	ytfm, eck4216, jw4179, yftm	predicted outer membrane protein and surface antigen
b4221	ytfn, eck4217, jw4180, ytfo	conserved protein
b4222	ytfp, eck4218, jw4181	conserved protein
b4224	chps, chpbi, eck4220, jw5750, yjfb	antitoxin of the chpb-chps toxin-antitoxin system
b4225	chpb, chpbk, eck4221, jw4184, yjfe	toxin of the chpb-chps toxin-antitoxin system
b4226	ppa, eck4222, jw4185	inorganic pyrophosphatase (ec:3,6,1,1)
b4227	ytfq, eck4223, jw4186	predicted sugar transporter subunit: periplasmic-binding component
b4230	ytft, eck4225, jw5753	predicted sugar transporter subunit: membrane component of abc
b4231	yjff, eck4226, jw5754	predicted sugar transporter subunit: membrane component of abc
b4232	fbp, eck4227, fdp, jw4191	fructose-1,6-bisphosphatase i (ec:3,1,3,11)
b4233	mpl, eck4228, jw4192, tpl, yjfg	udp-n-acetylmuramate:l-alanyl-gamma-d-glutamyl-meso-diaminopimelate
b4234	yjga, eck4229, jw4193	conserved protein
b4235	pmba, eck4230, jw4194, mcb, tlde	predicted peptidase required for the maturation and secretion of the
b4236	cybc, eck4231, jw4195	pseudogene
b4237	nrdg, eck4232, jw4196, yjge	anaerobic ribonucleotide reductase activating protein
b4238	nrdd, eck4233, jw4197	anaerobic ribonucleoside-triphosphate reductase (ec:1,17,4,2)
b4239	trec, eck4234, jw4198, olgh, tree	trehalose-6-p hydrolase (ec:3,2,1,93)
b4240	treb, eck4235, jw4199	fused trehalose(maltose)-specific pts enzyme: iib component/iic
b4241	trer, eck4236, jw4200	dna-binding transcriptional repressor
b4242	mgta, corb, eck4237, jw4201, mgt	magnesium transporter (ec:3,6,3,1)
b4243	yjgf, eck4238, jw5755	ketoacid-binding protein
b4244	pyri, eck4239, jw4203	aspartate carbamoyltransferase, regulatory subunit
b4245	pyrb, eck4240, jw4204	aspartate carbamoyltransferase, catalytic subunit (ec:2,1,3,2)
b4246	pyrl, eck4241, jw4205	pyrbi operon leader peptide
b4248	yjgh, eck4242, jw4206	predicted mrna endoribonuclease
b4249	yjgi, eck4243, jw4207	predicted oxidoreductase with nad(p)-binding rossmann-fold domain
b4251	yjgj, eck4244, jw4208	predicted transcriptional regulator
b4252	taba, eck4245, jw5756, yjgk	conserved protein
b4253	yjgl, eck4246, jw5757	predicted protein
b4254	argi, eck4247, jw4211	ornithine carbamoyltransferase 1 (ec:2,1,3,3)
b4255	rrab, eck4248, jw4212, yjgd	conserved protein
b4256	yjgm, eck4249, jw5758	predicted acetyltransferase
b4257	yjgn, eck4250, jw5759	conserved inner membrane protein
b4258	vals, eck4251, jw4215, val-act	valyl-trna synthetase (ec:6,1,1,9)
b4259	holc, eck4252, jw4216	dna polymerase iii, chi subunit (ec:2,7,7,7)
b4260	pepa, carp, eck4253, jw4217, xerb	multifunctional aminopeptidase a: a cyteinylglycinase, transcription
b4261	lptf, eck4254, jw4218, yjgp	conserved inner membrane protein
b4262	lptg, eck4255, jw5760, yjgq	conserved inner membrane protein
b4263	yjgr, eck4256, jw4220	predicted atpase
b4264	idnr, eck4257, gnth, jw4221, yjgs	dna-binding transcriptional repressor, 5-gluconate-binding
b4265	idnt, eck4258, gntw, jw4222, yjgt	l-idonate and d-gluconate transporter
